time,bid,bid_depth,bid_depth_total,offer,offer_depth,offer_depth_total
20160907T002354,102.083,0,0,102.108,0,0
20160907T002354,102.08,0,0,102.109,0,0
20160907T002354,102.079,0,0,102.107,0,0
20160907T002404,102.079,0,0,102.108,0,0
20160907T002406,102.08,0,0,102.108,0,0
20160907T002414,102.08,0,0,102.107,0,0
20160907T002424,102.08,0,0,102.109,0,0
20160907T002433,102.079,0,0,102.109,0,0
20160907T002434,102.079,0,0,102.108,0,0
20160907T002444,102.079,0,0,102.109,0,0
20160907T002445,102.079,0,0,102.108,0,0
20160907T002445,102.079,0,0,102.109,0,0
20160907T002458,102.078,0,0,102.107,0,0
20160907T002531,102.079,0,0,102.107,0,0
20160907T002531,102.08,0,0,102.108,0,0
20160907T002556,102.079,0,0,102.109,0,0
20160907T002558,102.092,0,0,102.118,0,0
20160907T002558,102.09,0,0,102.118,0,0
20160907T002558,102.089,0,0,102.117,0,0
20160907T002558,102.091,0,0,102.119,0,0
20160907T002559,102.09,0,0,102.118,0,0
20160907T002617,102.089,0,0,102.118,0,0
20160907T002625,102.09,0,0,102.119,0,0
20160907T002627,102.091,0,0,102.119,0,0
20160907T002633,102.091,0,0,102.12,0,0
20160907T002641,102.093,0,0,102.122,0,0
20160907T002641,102.092,0,0,102.121,0,0
20160907T002642,102.091,0,0,102.12,0,0
20160907T002642,102.092,0,0,102.121,0,0
20160907T002642,102.093,0,0,102.122,0,0
20160907T002651,102.092,0,0,102.122,0,0
20160907T002651,102.092,0,0,102.121,0,0
20160907T002651,102.091,0,0,102.12,0,0
20160907T002652,102.09,0,0,102.118,0,0
20160907T002656,102.089,0,0,102.118,0,0
20160907T002700,102.086,0,0,102.115,0,0
20160907T002700,102.088,0,0,102.118,0,0
20160907T002700,102.089,0,0,102.12,0,0
20160907T002701,102.091,0,0,102.12,0,0
20160907T002702,102.089,0,0,102.12,0,0
20160907T002703,102.089,0,0,102.118,0,0
20160907T002703,102.088,0,0,102.118,0,0
20160907T002705,102.086,0,0,102.118,0,0
20160907T002705,102.086,0,0,102.117,0,0
20160907T002706,102.086,0,0,102.116,0,0
20160907T002707,102.086,0,0,102.117,0,0
20160907T002707,102.086,0,0,102.116,0,0
20160907T002708,102.087,0,0,102.117,0,0
20160907T002709,102.087,0,0,102.116,0,0
20160907T002710,102.087,0,0,102.117,0,0
20160907T002711,102.087,0,0,102.118,0,0
20160907T002714,102.086,0,0,102.117,0,0
20160907T002714,102.087,0,0,102.118,0,0
20160907T002717,102.088,0,0,102.12,0,0
20160907T002717,102.088,0,0,102.119,0,0
20160907T002718,102.088,0,0,102.118,0,0
20160907T002719,102.087,0,0,102.118,0,0
20160907T002719,102.087,0,0,102.119,0,0
20160907T002720,102.09,0,0,102.121,0,0
20160907T002720,102.092,0,0,102.121,0,0
20160907T002720,102.094,0,0,102.123,0,0
20160907T002720,102.095,0,0,102.123,0,0
20160907T002720,102.094,0,0,102.122,0,0
20160907T002725,102.093,0,0,102.121,0,0
20160907T002725,102.092,0,0,102.12,0,0
20160907T002726,102.091,0,0,102.119,0,0
20160907T002727,102.092,0,0,102.12,0,0
20160907T002729,102.092,0,0,102.121,0,0
20160907T002729,102.098,0,0,102.126,0,0
20160907T002729,102.1,0,0,102.129,0,0
20160907T002729,102.101,0,0,102.133,0,0
20160907T002729,102.105,0,0,102.134,0,0
20160907T002730,102.102,0,0,102.134,0,0
20160907T002730,102.1,0,0,102.131,0,0
20160907T002730,102.099,0,0,102.131,0,0
20160907T002733,102.103,0,0,102.134,0,0
20160907T002733,102.113,0,0,102.142,0,0
20160907T002733,102.113,0,0,102.141,0,0
20160907T002733,102.111,0,0,102.143,0,0
20160907T002734,102.11,0,0,102.141,0,0
20160907T002734,102.109,0,0,102.141,0,0
20160907T002734,102.108,0,0,102.14,0,0
20160907T002735,102.108,0,0,102.139,0,0
20160907T002738,102.106,0,0,102.137,0,0
20160907T002739,102.107,0,0,102.137,0,0
20160907T002739,102.107,0,0,102.135,0,0
20160907T002739,102.106,0,0,102.134,0,0
20160907T002739,102.105,0,0,102.132,0,0
20160907T002740,102.104,0,0,102.132,0,0
20160907T002741,102.103,0,0,102.132,0,0
20160907T002741,102.103,0,0,102.131,0,0
20160907T002742,102.103,0,0,102.134,0,0
20160907T002744,102.103,0,0,102.133,0,0
20160907T002746,102.103,0,0,102.132,0,0
20160907T002748,102.103,0,0,102.131,0,0
20160907T002752,102.114,0,0,102.142,0,0
20160907T002752,102.107,0,0,102.145,0,0
20160907T002752,102.111,0,0,102.147,0,0
20160907T002753,102.112,0,0,102.147,0,0
20160907T002753,102.107,0,0,102.147,0,0
20160907T002753,102.103,0,0,102.141,0,0
20160907T002753,102.101,0,0,102.141,0,0
20160907T002753,102.097,0,0,102.137,0,0
20160907T002755,102.097,0,0,102.136,0,0
20160907T002755,102.098,0,0,102.137,0,0
20160907T002756,102.098,0,0,102.138,0,0
20160907T002801,102.097,0,0,102.137,0,0
20160907T002802,102.103,0,0,102.134,0,0
20160907T002804,102.103,0,0,102.135,0,0
20160907T002808,102.106,0,0,102.135,0,0
20160907T002816,102.105,0,0,102.135,0,0
20160907T002817,102.105,0,0,102.136,0,0
20160907T002819,102.104,0,0,102.136,0,0
20160907T002825,102.105,0,0,102.136,0,0
20160907T002833,102.105,0,0,102.137,0,0
20160907T002833,102.106,0,0,102.138,0,0
20160907T002837,102.106,0,0,102.137,0,0
20160907T002846,102.108,0,0,102.141,0,0
20160907T002846,102.109,0,0,102.141,0,0
20160907T002846,102.109,0,0,102.14,0,0
20160907T002846,102.106,0,0,102.138,0,0
20160907T002846,102.105,0,0,102.137,0,0
20160907T002847,102.105,0,0,102.136,0,0
20160907T002847,102.105,0,0,102.134,0,0
20160907T002849,102.105,0,0,102.135,0,0
20160907T002850,102.105,0,0,102.136,0,0
20160907T002855,102.105,0,0,102.135,0,0
20160907T002857,102.105,0,0,102.134,0,0
20160907T002902,102.104,0,0,102.134,0,0
20160907T002902,102.104,0,0,102.133,0,0
20160907T002905,102.104,0,0,102.134,0,0
20160907T002915,102.104,0,0,102.136,0,0
20160907T002916,102.104,0,0,102.135,0,0
20160907T002917,102.104,0,0,102.134,0,0
20160907T002918,102.104,0,0,102.136,0,0
20160907T002922,102.104,0,0,102.134,0,0
20160907T002925,102.103,0,0,102.134,0,0
20160907T002925,102.104,0,0,102.134,0,0
20160907T002926,102.113,0,0,102.138,0,0
20160907T002926,102.111,0,0,102.136,0,0
20160907T002926,102.107,0,0,102.136,0,0
20160907T002927,102.103,0,0,102.132,0,0
20160907T002928,102.103,0,0,102.133,0,0
20160907T002932,102.106,0,0,102.135,0,0
20160907T002932,102.104,0,0,102.134,0,0
20160907T002940,102.108,0,0,102.135,0,0
20160907T002940,102.105,0,0,102.133,0,0
20160907T002940,102.103,0,0,102.132,0,0
20160907T002949,102.106,0,0,102.134,0,0
20160907T002950,102.106,0,0,102.135,0,0
20160907T002950,102.107,0,0,102.135,0,0
20160907T002950,102.108,0,0,102.135,0,0
20160907T002951,102.111,0,0,102.14,0,0
20160907T002951,102.114,0,0,102.142,0,0
20160907T002951,102.116,0,0,102.145,0,0
20160907T002952,102.116,0,0,102.144,0,0
20160907T002952,102.113,0,0,102.141,0,0
20160907T002952,102.108,0,0,102.137,0,0
20160907T002952,102.104,0,0,102.132,0,0
20160907T002952,102.104,0,0,102.129,0,0
20160907T002952,102.105,0,0,102.133,0,0
20160907T002952,102.106,0,0,102.134,0,0
20160907T002952,102.106,0,0,102.133,0,0
20160907T002953,102.106,0,0,102.132,0,0
20160907T002954,102.105,0,0,102.132,0,0
20160907T002954,102.101,0,0,102.13,0,0
20160907T002954,102.098,0,0,102.126,0,0
20160907T002955,102.094,0,0,102.122,0,0
20160907T002955,102.094,0,0,102.121,0,0
20160907T002955,102.094,0,0,102.123,0,0
20160907T002955,102.096,0,0,102.122,0,0
20160907T002955,102.095,0,0,102.12,0,0
20160907T002955,102.095,0,0,102.122,0,0
20160907T002955,102.099,0,0,102.124,0,0
20160907T002958,102.101,0,0,102.128,0,0
20160907T002958,102.101,0,0,102.13,0,0
20160907T002958,102.101,0,0,102.131,0,0
20160907T002958,102.103,0,0,102.131,0,0
20160907T003000,102.105,0,0,102.134,0,0
20160907T003000,102.105,0,0,102.132,0,0
20160907T003000,102.105,0,0,102.133,0,0
20160907T003000,102.104,0,0,102.133,0,0
20160907T003000,102.103,0,0,102.131,0,0
20160907T003000,102.101,0,0,102.13,0,0
20160907T003001,102.101,0,0,102.129,0,0
20160907T003002,102.1,0,0,102.129,0,0
20160907T003003,102.101,0,0,102.129,0,0
20160907T003004,102.104,0,0,102.132,0,0
20160907T003004,102.101,0,0,102.129,0,0
20160907T003004,102.097,0,0,102.126,0,0
20160907T003004,102.095,0,0,102.125,0,0
20160907T003004,102.098,0,0,102.127,0,0
20160907T003005,102.099,0,0,102.127,0,0
20160907T003006,102.097,0,0,102.126,0,0
20160907T003010,102.098,0,0,102.126,0,0
20160907T003010,102.1,0,0,102.128,0,0
